id,title,description,diagnosis1,diagnosisCorrect1,diagnosis2,diagnosisCorrect2,diagnosis3,diagnosisCorrect3,diagnosis4,diagnosisCorrect4,diagnosis5,diagnosisCorrect5,finding1,findingCorrect1,finding2,findingCorrect2,finding3,findingCorrect3,finding4,findingCorrect4,finding5,findingCorrect5,treatment1,treatmentCorrect1,treatment2,treatmentCorrect2,treatment3,treatmentCorrect3,treatment4,treatmentCorrect4,treatment5,treatmentCorrect5,feedback
1,Ząb 36 z przewlekłym zapaleniem tkanek okołowierzchołkowych,"Pacjent lat 42, zgłasza okresowy ból w okolicy zęba 36 podczas żucia. Badanie kliniczne ujawnia głęboką próchnicę i dodatni test na opukiwanie.",Próchnica głęboka z zajęciem miazgi,false,Przewlekłe zapalenie tkanek okołowierzchołkowych,true,Torbiel korzeniowa,false,Ostre zapalenie miazgi,false,Złamanie korzenia,false,Rozległa próchnica sięgająca miazgi,true,Obecność rozrzedzenia w okolicy wierzchołka korzenia,true,Pogrubienie ozębnej,true,Kanały korzeniowe nie są poszerzone,true,Brak cech resorpcji korzenia,true,Leczenie kanałowe,true,Wypełnienie kompozytowe,false,Ekstrakcja,false,Antybiotykoterapia,false,Odbudowa protetyczna,false,"Pacjent wymaga leczenia endodontycznego. Widoczne jest przewlekłe zapalenie tkanek okołowierzchołkowych z charakterystycznym rozrzedzeniem struktury kostnej wokół wierzchołka korzenia. Objawy radiologiczne wskazują na martwicę miazgi. Leczenie powinno obejmować kompletne opracowanie chemomechaniczne kanałów korzeniowych oraz trójwymiarową obturację systemu kanałowego."
2,Ząb 11 z resorpcją wewnętrzną,"Pacjentka lat 35, skierowana przez lekarza prowadzącego z powodu różowego przebarwienia korony zęba 11, bez dolegliwości bólowych.",Złamanie korzenia,false,Resorpcja wewnętrzna,true,Resorpcja zewnętrzna,false,Perforacja korzenia,false,Kalcyfikacja kanału,false,Zaokrąglone poszerzenie w środkowej części kanału korzeniowego,true,Kanał korzeniowy rozszerzony nieregularnie,true,Struktura kanału przerwana,true,Struktura korzenia zachowana od strony zewnętrznej,true,Brak zmian w okolicy przywierzchołkowej,false,Natychmiastowe leczenie kanałowe,true,Ekstrakcja,false,Obserwacja,false,Leczenie chirurgiczne,false,Wybielanie wewnętrzne,false,"Widoczna jest wyraźna resorpcja wewnętrzna w środkowej części kanału korzeniowego zęba 11. Resorpcja wewnętrzna charakteryzuje się symetrycznym, balonowatym poszerzeniem kanału korzeniowego. Proces rozpoczyna się od wnętrza kanału i postępuje na zewnątrz. Leczenie powinno być przeprowadzone natychmiastowo, aby zatrzymać proces resorpcyjny poprzez usunięcie tkanki ziarninowej odpowiedzialnej za resorpcję i dokładną obturację poszerzonej części kanału."
3,Ząb 46 z dodatkowym kanałem mezjalnym,"Pacjent lat 28, zgłasza silne dolegliwości bólowe w okolicy zęba 46, które nie ustępują po lekach przeciwbólowych. Wcześniejsze leczenie kanałowe nie przyniosło poprawy.",Niedrożny kanał korzeniowy,false,Pęknięcie korzenia,false,Przetrwałe zapalenie okołowierzchołkowe,false,Dodatkowy kanał korzeniowy,true,Perforacja furkacji,false,Obecność trzech kanałów w korzeniu mezjalnym,true,Dwa główne kanały korzeniowe w korzeniu mezjalnym,true,Wąski dodatkowy kanał między głównymi kanałami mezjalnymi,true,Ślad instrumentacji tylko w dwóch kanałach mezjalnych,true,Przejaśnienie w okolicy wierzchołka korzenia mezjalnego,true,Ponowne leczenie kanałowe z uwzględnieniem kanału MM,true,Resekcja wierzchołka korzenia,false,Ekstrakcja,false,Hemisekcja,false,Zamknięcie perforacji MTA,false,"W zębie 46 widoczny jest dodatkowy, środkowy kanał mezjalny (middle mesial canal), który nie został opracowany podczas wcześniejszego leczenia. Trójwymiarowa analiza CBCT pozwala na dokładną lokalizację tego kanału między kanałem mezjalno-policzkowym a mezjalno-językowym. Obecność nieprzeleczonego kanału jest przyczyną utrzymujących się dolegliwości i stanu zapalnego. Zalecane jest ponowne leczenie kanałowe z identyfikacją i opracowaniem dodatkowego kanału."
4,Pionowe złamanie korzenia zęba 26,"Pacjent lat 52, zgłasza nawracający obrzęk dziąsła w okolicy zęba 26. Ząb był leczony kanałowo 3 lata temu i zaopatrzony koroną protetyczną.",Perforacja korzenia,false,Złamanie korony,false,Pionowe pęknięcie korzenia,true,Nieprawidłowo opracowany kanał,false,Resorpcja zewnętrzna,false,Linia pęknięcia biegnąca wzdłuż korzenia,true,Okołokorzeniowy ubytek kostny o charakterystycznym kształcie,true,Widoczne wypełnienie kanałowe,true,Asymetryczny zanik kości wyrostka,true,Poszerzenie szpary ozębnej,true,Ekstrakcja,true,Ponowne leczenie kanałowe,false,Chirurgiczne usunięcie wierzchołka,false,Hemisekcja,false,Odbudowa kompozytowa,false,"Obrazowanie CBCT jednoznacznie wskazuje na pionowe złamanie korzenia policzkowego zęba 26. Widoczna jest charakterystyczna linia pęknięcia biegnąca wzdłuż korzenia oraz towarzyszący jej okołokorzeniowy ubytek kostny o charakterystycznym kształcie. Pionowe złamania korzeni są często trudne do wykrycia w konwencjonalnym badaniu radiologicznym, ale CBCT pozwala na ich identyfikację. Jedynym skutecznym leczeniem jest ekstrakcja zęba lub, jeśli możliwe, hemisekcja z usunięciem złamanego korzenia."
5,Ząb 21 z resorpcją zewnętrzną,"Pacjentka lat 30, skierowana z powodu przypadkowego wykrycia zmiany w okolicy szyjki zęba 21 podczas rutynowego badania. Pacjentka nie zgłasza dolegliwości.",Ubytek próchnicowy,false,Zewnętrzna resorpcja zapalna,true,Wewnętrzna resorpcja,false,Abfrakcja,false,Perforacja kanału,false,Nieregularny ubytek w strukturze korzenia od strony zewnętrznej,true,Kanał korzeniowy nienaruszony,true,Ubytek zlokalizowany w okolicy przyszyjkowej,true,Okoliczne tkanki miękkie wykazują cechy stanu zapalnego,true,Nienaruszony przebieg kanału korzeniowego,true,Leczenie kanałowe z wypełnieniem ubytku MTA,true,Ekstrakcja,false,Tylko obserwacja,false,Leczenie chirurgiczne z przeszczepem dziąsła,false,Wypełnienie ubytku materiałem kompozytowym,false,"Obrazy CBCT ujawniają zewnętrzną resorpcję zapalną w okolicy przyszyjkowej zęba 21. Charakterystyczne cechy to: nieregularny ubytek w strukturze korzenia od strony zewnętrznej przy zachowanym przebiegu kanału korzeniowego. Resorpcja zewnętrzna jest procesem, który rozpoczyna się na zewnętrznej powierzchni korzenia i postępuje do wewnątrz. Leczenie powinno obejmować terapię kanałową w celu wyeliminowania potencjalnych bodźców z miazgi oraz wypełnienie ubytku resorpcyjnego materiałem biokompatybilnym jak MTA."
6,Perforacja furkacji w zębie 36,"Pacjent lat 45, zgłasza ból i obrzęk dziąsła w okolicy zęba 36 po rozpoczętym kilka dni temu leczeniu kanałowym.",Niedrożny kanał korzeniowy,false,Perforacja dna komory,true,Przepchnięcie materiału poza wierzchołek,false,Perforacja boczna korzenia,false,Złamanie narzędzia,false,Widoczny kanał komunikacji między komorą a furkacją,true,Obecność materiału wypełniającego w okolicy furkacji,true,Zatarcie struktury dna komory,true,Stan zapalny tkanek w furkacji,true,Prawidłowe opracowanie kanałów korzeniowych,false,Zamknięcie perforacji materiałem MTA,true,Ekstrakcja,false,Hemisekcja,false,Kontynuacja leczenia kanałowego bez dodatkowych procedur,false,Leczenie chirurgiczne furkacji,false,"Badanie CBCT jasno pokazuje perforację dna komory zęba 36 z widocznym kanałem komunikacji między komorą a furkacją. W miejscu perforacji widoczny jest materiał wypełniający wprowadzony podczas leczenia. Perforacje furkacji mają niekorzystne rokowanie ze względu na bezpośredni kontakt z tkankami przyzębia. Najskuteczniejszym postępowaniem jest zamknięcie perforacji materiałem biokompatybilnym, takim jak MTA, co pozwala na odbudowę tkanek i zachowanie zęba."
7,Złamanie narzędzia endodontycznego w zębie 27,"Pacjent lat 38, skierowany ze względu na złamanie narzędzia podczas leczenia kanałowego zęba 27, które jest widoczne na zdjęciu rentgenowskim.",Zwapnienie kanału,false,Złamane narzędzie endodontyczne,true,Perforacja korzenia,false,Transportacja kanału,false,Kalcyfikacja,false,Metalowy fragment widoczny w kanale,true,Fragment zablokował około 1/3 długości kanału,true,Kanał częściowo wypełniony materiałem,true,Narzędzie zlokalizowane w kanale mezjalno-policzkowym,true,Pozostałe kanały bez przeszkód,true,Dokończenie leczenia kanałowego z pozostawieniem fragmentu,true,Chirurgiczne usunięcie fragmentu,false,Ekstrakcja,false,Usunięcie fragmentu ultradźwiękami,false,Przerwanie leczenia,false,"Obrazowanie CBCT dokładnie uwidacznia złamany fragment narzędzia endodontycznego w kanale mezjalno-policzkowym zęba 27. Fragment blokuje około 1/3 długości kanału. W takich przypadkach, gdy fragment jest trudny do usunięcia i nie ma objawów zapalenia około wierzchołkowego, często najlepszym postępowaniem jest dokończenie leczenia kanałowego z pozostawieniem fragmentu. Narzędzie można ominąć i opracować kanał do jego pełnej długości, a następnie dokładnie obturować, zabezpieczając fragment w systemie kanałowym."
8,Ząb 22 z torbielą korzeniową,"Pacjentka lat 50, skierowana przez lekarza ogólnego z powodu przypadkowo wykrytej zmiany w okolicy wierzchołka zęba 22. Brak dolegliwości bólowych.",Ziarniniak okołowierzchołkowy,false,Torbiel korzeniowa,true,Ziarniak okołowierzchołkowy,false,Przewlekłe zapalenie tkanek okołowierzchołkowych,false,Zębopochodny guz keratocystyczny,false,Dobrze odgraniczona owalna zmiana przy wierzchołku korzenia,true,Zmiana z wyraźną granicą okalającą,true,Homogenna struktura wewnętrzna zmiany,true,Brak oznak resorpcji korzenia,true,Zmiana większa niż 1 cm średnicy,true,Leczenie kanałowe z następczą obserwacją,true,Natychmiastowe leczenie chirurgiczne,false,Ekstrakcja,false,Tylko obserwacja,false,Biopsja zmiany,false,"Obrazy CBCT ujawniają dobrze odgraniczoną, owalną zmianę przy wierzchołku korzenia zęba 22, co jest charakterystyczne dla torbieli korzeniowej. Zmiana ma wyraźną granicę okalającą i homogenną strukturę wewnętrzną. Torbiele korzeniowe powstają jako następstwo przewlekłego stanu zapalnego tkanek okołowierzchołkowych. Pierwszym etapem leczenia powinno być prawidłowe leczenie kanałowe. W większości przypadków prawidłowe leczenie endodontyczne prowadzi do regresji zmiany. Należy zalecić obserwację i kontrolne badania obrazowe."
9,Ząb 24 z resorpcją wewnętrzną z perforacją,"Pacjent lat 40, zgłasza okresowy obrzęk dziąsła w okolicy zęba 24. Badanie kliniczne wykazuje dodatnią reakcję na opukiwanie i test przetrwałości termicznej.",Resorpcja zewnętrzna,false,Resorpcja wewnętrzna z perforacją,true,Perforacja korzenia,false,Kieszonka przyzębna,false,Pęknięcie korzenia,false,Balonowate poszerzenie kanału korzeniowego,true,Przerwanie ciągłości ściany korzenia,true,Nieregularne rozrzedzenie struktury korzenia,true,Zmiana zapalna w tkankach okołokorzeniowych,true,Zachowana ciągłość warstwy cementu w niektórych obszarach,false,Leczenie kanałowe z MTA w miejscu perforacji,true,Ekstrakcja,false,Resekcja wierzchołka korzenia,false,Zamknięcie perforacji amalgamatem,false,Leczenie chirurgiczne z przeszczepem kości,false,"Obrazowanie CBCT jasno pokazuje resorpcję wewnętrzną z perforacją w zębie 24. Widoczne jest charakterystyczne balonowate poszerzenie kanału korzeniowego z przerwaniem ciągłości ściany korzenia. Resorpcja wewnętrzna z perforacją jest stanem zaawansowanym, który wymaga natychmiastowej interwencji. Leczenie powinno obejmować dokładne opracowanie chemomechaniczne kanału korzeniowego, ze szczególnym uwzględnieniem obszaru resorpcji, oraz zamknięcie perforacji biokompatybilnym materiałem, takim jak MTA, który umożliwi gojenie tkanek okołokorzeniowych."
10,Ząb 17 z obliterowanymi kanałami,"Pacjent lat 65, skierowany na leczenie kanałowe zęba 17 z powodu objawów nieodwracalnego zapalenia miazgi. Zdjęcie RTG sugeruje zwężenie i zwapnienie kanałów.",Zwapnienie kanałów korzeniowych,true,Resorpcja wewnętrzna,false,Resorpcja zewnętrzna,false,Pęknięcie korzenia,false,Standardowa anatomia kanałowa,false,Znaczne zwężenie światła kanałów korzeniowych,true,Zwiększona gęstość w obrębie komory pulpy,true,Zachowane światło kanału w części wierzchołkowej,true,Trudna do określenia granica między dentinal i miazgą,true,Niewyraźne ujścia kanałów,true,Leczenie kanałowe z użyciem mikroskopy i ultradźwięków,true,Resekcja wierzchołków korzeni,false,Ekstrakcja,false,Trepanacja przez koronę protetyczną,false,Leczenie zachowawcze bez endodoncji,false,"Obrazy CBCT wykazują znaczne zwapnienie kanałów korzeniowych zęba 17. Widoczne jest znaczne zwężenie światła kanałów oraz zwiększona gęstość w obrębie komory pulpy. Obliteracja (zwapnienie) kanałów korzeniowych stanowi wyzwanie podczas leczenia endodontycznego. Zastosowanie mikroskopu operacyjnego, ultradźwięków i specjalnych narzędzi jest niezbędne do lokalizacji i opracowania zwapniałych kanałów. CBCT pomaga w określeniu drogi kanału oraz lokalizacji części kanału, które pozostają drożne, co zwiększa skuteczność leczenia."
