accomplish,osiągnąć,opóźnić,osłabić,zaniechać
adapt,dostosować,przeciwstawić,zatrzymać,zablokować
afford,pozwolić sobie,zabronić,odmówić,zrezygnować
awkward,niezręczny,gładki,swobodny,naturalny
boost,wzmocnić,osłabić,zmniejszyć,zahamować
boundary,granica,centrum,wnętrze,rdzeń
burden,ciężar,ulga,pomoc,wsparcie
coincidence,zbieg okoliczności,plan,zamiar,strategia
collaborate,współpracować,rywalizować,walczyć,konkurować
commitment,zobowiązanie,unik,wymówka,wycofanie
compromise,kompromis,upór,nieustępliwość,nieugięcie
concern,troska,obojętność,beztroska,zadowolenie
confidence,pewność siebie,nieśmiałość,wątpliwość,niepewność
contribute,wnieść wkład,przeszkodzić,utrudnić,zakłócić
crucial,kluczowy,nieistotny,poboczny,marginalny
deadline,termin,początek,opóźnienie,nieskończoność
decline,odmówić,zaakceptować,przystać,zgodzić się
defend,bronić,atakować,oskarżać,potępiać
delay,opóźnić,przyspieszyć,wyprzedzić,wyprzedzać
deliver,dostarczyć,zatrzymać,ukryć,zataić
demanding,wymagający,prosty,łatwy,banalny
determine,ustalić,pomylić,zmieszać,zdezorientować
discourage,zniechęcać,zachęcać,wspierać,motywować
dismiss,odrzucić,przyjąć,zaakceptować,docenić
distinguish,odróżnić,pomylić,zmieszać,poplątać
disturb,niepokoić,uspokoić,ukoić,złagodzić
diverse,zróżnicowany,jednolity,jednakowy,identyczny
doubt,wątpić,ufać,wierzyć,polegać
embarrassed,zawstydzony,pewny siebie,dumny,zarozumiały
emphasize,podkreślać,ignorować,pomijać,lekceważyć
encourage,zachęcać,zniechęcać,odwodzić,odradzać
enhance,ulepszyć,pogorszyć,zaszkodzić,zepsuć
evaluate,oceniać,ignorować,lekceważyć,pomijać
eventually,ostatecznie,natychmiast,teraz,zaraz
evidence,dowód,spekulacja,przypuszczenie,domysł
exaggerate,przesadzać,umniejszać,minimalizować,bagatelizować
exceed,przekraczać,nie dociągać,nie wystarczać,zawodzić
excessive,nadmierny,niewystarczający,skąpy,znikomy
exchange,wymienić,zatrzymać,zachować,ukryć
exclude,wykluczyć,dołączyć,zawrzeć,włączyć
exhausted,wyczerpany,rześki,pełen energii,wypoczęty
expand,rozszerzać,kurczyć,zmniejszać,redukować
experience,doświadczenie,ignorancja,niewiedza,naiwność
extremely,niezwykle,normalnie,przeciętnie,typowo
familiar,znajomy,obcy,nieznany,nowy
fascinating,fascynujący,nudny,monotonny,nieciekawy
fault,wina,zasługa,zaleta,cnota
flexible,elastyczny,sztywny,nieugięty,nieustępliwy
fulfilling,satysfakcjonujący,rozczarowujący,przygnębiający,zniechęcający
genuine,autentyczny,fałszywy,sztuczny,podrobiony
gradually,stopniowo,nagle,gwałtownie,błyskawicznie
grateful,wdzięczny,niewdzięczny,roszczeniowy,pretensjonalny
hesitate,wahać się,decydować,postanawiać,rozstrzygać
highlight,podkreślić,ukryć,zatuszować,zamaskować
hindsight,retrospekcja,przewidywanie,prognoza,przepowiednia
humble,skromny,arogancki,zarozumiały,wyniosły
ignore,ignorować,zauważać,dostrzegać,obserwować
impact,wpływ,obojętność,neutralność,brak znaczenia
imply,sugerować,zaprzeczać,negować,wykluczać
inspire,inspirować,zniechęcać,demotywować,przygnębiać
invest,inwestować,marnować,trwonić,roztrwaniać
involve,angażować,wykluczać,izolować,odsuwać
lack,brak,nadmiar,obfitość,nadwyżka
launch,rozpocząć,zakończyć,zatrzymać,wstrzymać
maintain,utrzymywać,zaniedbywać,porzucać,niszczyć
majority,większość,mniejszość,niewielka część,ułamek
manage,zarządzać,poddać się,zawieść,zaniedbać
mature,dojrzały,niedojrzały,dziecinny,infantylny
merely,jedynie,całkowicie,w pełni,gruntownie
misunderstanding,nieporozumienie,zrozumienie,porozumienie,zgoda
modest,skromny,wystawny,ekstrawagancki,przesadny
mutual,wzajemny,jednostronny,niezrównoważony,nieodwzajemniony
nevertheless,niemniej jednak,dlatego,z tego powodu,w związku z tym
numerous,liczny,rzadki,pojedynczy,odosobniony
occasionally,okazjonalnie,zawsze,nieustannie,ciągle
outcome,wynik,początek,wprowadzenie,zalążek
outstanding,wybitny,przeciętny,mierny,słaby
overcome,przezwyciężyć,poddać się,ulec,skapitulować
overlook,przeoczyć,zauważyć,dostrzec,wychwycić
overwhelm,przytłoczyć,ułatwić,uprościć,ułatwić
